2020-02-09,2339369,Pompa,Apeks,3,Dust2,Inferno,0.0,Train,Nuke,0.0,Vertigo,Overpass,Mirage
2020-02-09,2339351,Paradox,Skyfire,3,Nuke,Inferno,0.0,Train,Dust2,0.0,Vertigo,Overpass,Mirage
2020-02-09,2339335,Lyngby Vikings,Apeks,1,Mirage,Dust2,Overpass,Inferno,Train,Vertigo,0.0,0.0,Nuke
2020-02-09,2339346,DivisionX,SHIFT,3,Mirage,Nuke,0.0,Vertigo,Dust2,0.0,Inferno,Train,Overpass
2020-02-09,2339334,Pompa,AGO,1,Dust2,Inferno,Vertigo,Nuke,Overpass,Mirage,0.0,0.0,Train
2020-02-09,2339103,Natus Vincere,Complexity,3,Vertigo,Overpass,0.0,Nuke,Dust2,0.0,Train,Mirage,Inferno
2020-02-09,2339102,Vitality,Natus Vincere,3,Train,Overpass,0.0,Vertigo,Mirage,0.0,Inferno,Dust2,Nuke
2020-02-09,2339336,KOVA,SKADE,1,Inferno,Overpass,Mirage,Nuke,Vertigo,Dust2,0.0,0.0,Train
2020-02-09,2339300,Unique,EXTREMUM,3,Vertigo,Dust2,0.0,Overpass,Train,0.0,Nuke,Inferno,Mirage
2020-02-08,2339329,Demolition Crew,SKADE,1,Train,Overpass,Nuke,Mirage,Dust2,Vertigo,0.0,0.0,Inferno
2020-02-08,2339327,sAw,AGO,1,Mirage,Inferno,Train,Nuke,Overpass,Vertigo,0.0,0.0,Dust2
2020-02-08,2339325,Japaleno,KOVA,1,Nuke,Vertigo,Train,Inferno,Overpass,Mirage,0.0,0.0,Dust2
2020-02-08,2339101,Complexity,Vitality,3,Nuke,Vertigo,0.0,Train,Dust2,0.0,Mirage,Inferno,Overpass
2020-02-08,2339100,Natus Vincere,Astralis,3,Vertigo,Overpass,0.0,Mirage,Dust2,0.0,Train,Nuke,Inferno
2020-02-08,2339299,SG.pro,Gambit Youngsters,3,Inferno,Overpass,0.0,Nuke,Vertigo,0.0,Train,Dust2,Mirage
2020-02-08,2339313,Paradox,Ground Zero,3,Nuke,Overpass,0.0,Vertigo,Dust2,0.0,Train,Mirage,Inferno
2020-02-08,2339311,Formidable,Ground Zero,1,Overpass,Mirage,Nuke,Vertigo,Train,Inferno,0.0,0.0,Dust2
2020-02-08,2339309,Paradox,Airborne,1,Inferno,Nuke,Overpass,Train,Mirage,Vertigo,0.0,0.0,Dust2
2020-02-08,2339310,MC,madlikewizards,1,Mirage,Train,Inferno,Nuke,Vertigo,Overpass,0.0,0.0,Dust2
2020-02-08,2339231,DivisionX,SHIFT,3,Mirage,Nuke,0.0,Overpass,Train,0.0,Vertigo,Inferno,Dust2
2020-02-08,2339326,Lyngby Vikings,Secret,1,Mirage,Dust2,Train,Vertigo,Overpass,Inferno,0.0,0.0,Nuke
2020-02-07,2339308,Na`Vi Junior,Copenhagen Flames,3,Nuke,Train,0.0,Dust2,Mirage,0.0,Vertigo,Inferno,Overpass
2020-02-07,2339099,Complexity,Astralis,3,Nuke,Train,0.0,Mirage,Overpass,0.0,Dust2,Vertigo,Inferno
2020-02-07,2339098,Vitality,Natus Vincere,3,Train,Mirage,0.0,Vertigo,Overpass,0.0,Inferno,Dust2,Nuke
2020-02-06,2339294,TRIDENT,Formidable,1,Inferno,Vertigo,Nuke,Overpass,Train,Mirage,0.0,0.0,Dust2
2020-02-06,2339293,MC,ORDER,1,Vertigo,Train,Inferno,Overpass,Mirage,Dust2,0.0,0.0,Nuke
2020-02-06,2339292,madlikewizards,Airborne,1,Vertigo,Nuke,Overpass,Mirage,Train,Dust2,0.0,0.0,Inferno
2020-02-06,2339290,TRIDENT,Ground Zero,1,Nuke,Inferno,Overpass,Vertigo,Train,Mirage,0.0,0.0,Dust2
2020-02-05,2339235,Esper,FURY,1,Inferno,Dust2,Overpass,Mirage,Vertigo,Nuke,0.0,0.0,Train
2020-02-05,2339266,ad hoc,Juggernauts,1,Train,Mirage,Dust2,Overpass,Vertigo,Inferno,0.0,0.0,Nuke
2020-02-05,2339268,Secret,Sprout,1,Vertigo,Train,Overpass,Mirage,Dust2,Nuke,0.0,0.0,Inferno
2020-02-05,2339269,FATE,Nordavind,1,Nuke,Mirage,Overpass,Train,Dust2,Vertigo,0.0,0.0,Inferno
2020-02-05,2339278,Faint,LiViD,1,Inferno,Vertigo,Overpass,Dust2,Mirage,Train,0.0,0.0,Nuke
2020-02-05,2339282,Big Frames,Mythic,1,Vertigo,Train,Dust2,Nuke,Overpass,Inferno,0.0,0.0,Mirage
2020-02-05,2339280,Station7,RBG,1,Train,Inferno,Mirage,Vertigo,Dust2,Nuke,0.0,0.0,Overpass
2020-02-05,2339287,LiViD,Mythic,1,Dust2,Mirage,Inferno,Vertigo,Nuke,Overpass,0.0,0.0,Train
2020-02-05,2339285,Station7,Divine,1,Train,Dust2,Overpass,Nuke,Inferno,Vertigo,0.0,0.0,Mirage
2020-02-05,2339236,ORDER,Skyfire,1,Overpass,Nuke,Mirage,Dust2,Train,Vertigo,0.0,0.0,Inferno
2020-02-05,2339233,AVANT,PC419,1,Vertigo,Nuke,Mirage,Overpass,Train,Inferno,0.0,0.0,Dust2
2020-02-05,2339281,Russian Street Party,Divine,1,Dust2,Vertigo,Mirage,Nuke,Train,Inferno,0.0,0.0,Overpass
2020-02-05,2339234,Formidable,Airborne,1,Overpass,Nuke,Vertigo,Mirage,Train,Inferno,0.0,0.0,Dust2
2020-02-05,2339237,AVANT,MC,1,Vertigo,Nuke,Inferno,Train,Overpass,Mirage,0.0,0.0,Dust2
2020-02-05,2339162,MAD Lions,mousesports,3,Inferno,Train,0.0,Overpass,Mirage,0.0,Vertigo,Dust2,Nuke
2020-02-05,2339163,GODSENT,Natus Vincere,3,Mirage,Nuke,0.0,Vertigo,Inferno,0.0,Overpass,Train,Dust2
2020-02-05,2339274,ex-Virtus.pro,Nordavind,1,Vertigo,Overpass,0.0,Train,Mirage,0.0,Inferno,Dust2,Nuke
2020-02-05,2339296,AGO,Sprout,3,Overpass,Nuke,0.0,Vertigo,Dust2,0.0,Inferno,Mirage,Train
2020-02-05,2339166,EXTREMUM,Hard Legion,3,Overpass,Dust2,0.0,Nuke,Vertigo,0.0,Mirage,Inferno,Train
2020-02-05,2339270,PACT,Copenhagen Flames,1,Overpass,Inferno,Nuke,Dust2,Mirage,Vertigo,0.0,0.0,Train
2020-02-05,2339273,Juggernauts,AGO,1,Vertigo,Dust2,Overpass,Nuke,Mirage,Inferno,0.0,0.0,Train
2020-02-05,2339272,AVEZ,Sprout,1,Mirage,Overpass,Dust2,Vertigo,Nuke,Train,0.0,0.0,Inferno
2020-02-05,2339295,PACT,Nordavind,3,Mirage,Inferno,0.0,Train,Dust2,0.0,Vertigo,Overpass,Nuke
2020-02-05,2339256,ROCK CANDY,PC419,1,Train,Vertigo,Nuke,Overpass,Inferno,Dust2,0.0,0.0,Mirage
2020-02-04,2339230,madlikewizards,Skyfire,1,Vertigo,Nuke,Overpass,Dust2,Train,Mirage,0.0,0.0,Inferno
2020-02-04,2339227,Imperial,paiN,3,Nuke,Overpass,0.0,Mirage,Vertigo,0.0,Train,Inferno,Dust2
2020-02-04,2339208,Asuna's Anime Aimers,Rugratz,1,Overpass,Inferno,Vertigo,Mirage,Dust2,Train,0.0,0.0,Nuke
2020-02-04,2339209,Incept,AVANT,1,Train,Overpass,Inferno,Vertigo,Nuke,Dust2,0.0,0.0,Mirage
2020-02-04,2339264,FiveG,Copenhagen Flames,1,Overpass,Train,Vertigo,Dust2,Mirage,Nuke,0.0,0.0,Inferno
2020-02-04,2339229,Paradox,PC419,1,Nuke,Overpass,Inferno,Train,Vertigo,Mirage,0.0,0.0,Dust2
